,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
21252,14.4818272501,331.660813413,229.396041448,-36.623432781,-91.102345673,88.563131616,-0.146717303808,0.0113140038862
21253,19.0009931746,333.240060902,227.856209184,-32.9667475494,28.2167105283,85.7105382198,-0.147937989936,0.05156676234
21254,18.5366544215,333.939266149,228.844681763,-32.9841553874,-1.17774507977,88.6060265921,-0.147051030573,-0.00154935648173
21255,15.9053579973,335.249803189,231.97380386,-34.1476309158,16.3283393722,90.6519299371,-0.207308816315,0.0133884771281
21256,15.2533699573,330.510857512,227.638168003,-36.5897521586,3.11051356171,90.7419061223,-0.167980706479,0.0884786569183
21257,14.5639967871,330.114471101,227.694113391,-37.1922651445,-14.619449225,89.3320141198,-0.136961138539,0.00824597443541
21258,13.3671884576,328.900485553,227.201883519,-38.4229878443,-62.5342233152,88.7794573059,-0.179897665726,-0.0387852117486
21259,11.7524185641,327.285533332,226.494327571,-40.0240099633,-51.7364765938,96.4201847781,-0.132900670197,0.0230310224924
21260,16.30265275,328.396374793,224.665976721,-36.7030180237,-16.5050260695,94.8717725336,-0.108597020214,0.0746029594481
21261,15.0397350837,329.112465066,226.280504233,-37.2694067257,-11.9181373899,96.5960166785,-0.134151471406,0.0956333644098
21262,4.20333433579,327.128773987,232.362310782,-44.3661712381,18.2064267375,92.4931680837,-0.136618509408,-0.0198363572921
21263,8.17809698187,326.192412092,227.824507071,-42.5310164109,21.590030389,93.2498922879,-0.135022943167,0.114781788457
21264,9.26712429241,323.496870481,223.54904392,-42.7796411145,20.4999047,88.9287245555,-0.168331282219,-0.00308480095374
21265,7.88868850944,327.331048973,229.473392269,-42.292436332,-159.149117649,89.1079237462,-0.297119418913,0.203669824389
21266,10.2615695217,326.8454903,227.05118326,-41.0845633665,28.7216252672,93.793608657,-0.155045337421,0.0880965415067
21267,9.96152696646,327.949220524,228.599821915,-40.8646182526,52.866394012,79.7264800382,-0.166001003462,-0.00883313503985
21268,8.8543256758,330.527136716,232.475739092,-40.5132700014,52.2120210013,83.5358057274,-0.212384623502,-0.012440443585
21269,9.73734416119,333.955830293,235.489307,-38.5345984136,-79.2794785832,88.9234084493,-0.178814231925,-0.00914153425619
21270,9.16833971929,333.259407662,235.228505517,-39.1748313356,2.03060411367,92.2414850293,-0.122220610844,-0.0099593844255
21271,-1.63179323559,330.42764803,242.494276146,-45.8826972473,62.9455588105,90.0353086623,-0.157402305977,-0.0936171174276
21272,8.56990870806,329.039892235,230.984761767,-41.2649050377,92.0310545651,79.0340208659,-0.219444997963,0.0749964352289
21273,6.11331538257,323.195911983,225.478595226,-44.661084592,-105.990300886,78.4337158115,-0.196995557616,0.0201167628308
21274,1.02546606831,323.326963589,230.074984402,-47.2207600051,21.8162003185,87.5577587997,-0.176837576055,-0.01946848137
21275,-5.62893735726,331.721683959,248.915938654,-46.9806515596,11.5709737713,97.4820217848,-0.145379465325,0.0402922927589
21276,1.50968881406,329.726316151,238.241148752,-44.7231309615,-28.3746175735,100.235674946,-0.130825448176,-0.00446994056895
